label,timestamp,browDown_L,browDown_R,browInnerUp,browOuterUp_L,browOuterUp_R,cheekPuff,cheekSquint_L,cheekSquint_R,eyeBlink_L,eyeBlink_R,eyeLookDown_L,eyeLookDown_R,eyeLookIn_L,eyeLookIn_R,eyeLookOut_L,eyeLookOut_R,eyeLookUp_L,eyeLookUp_R,eyeSquint_L,eyeSquint_R,eyeWide_L,eyeWide_R,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimple_L,mouthDimple_R,mouthFrown_L,mouthFrown_R,mouthFunnel,mouthLeft,mouthLowerDown_L,mouthLowerDown_R,mouthPress_L,mouthPress_R,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmile_L,mouthSmile_R,mouthStretch_L,mouthStretch_R,mouthUpperUp_L,mouthUpperUp_R,noseSneer_L,noseSneer_R,tongueOut
tongueOut,1783192469.4778519,0.0000,0.0000,0.2059,0.0992,0.1001,0.0353,0.0410,0.0315,0.1304,0.1304,0.2956,0.2977,0.2196,0.0000,0.0000,0.1008,0.0000,0.0000,0.0216,0.0216,0.0000,0.0000,0.1962,0.0173,0.4256,0.0000,0.3967,0.0979,0.0912,0.1147,0.1112,0.1009,0.0621,0.1189,0.1055,0.0999,0.1010,0.2927,0.0000,0.3059,0.2996,0.1128,0.0424,0.0000,0.0000,0.1834,0.1545,0.0122,0.0104,0.0633,0.0754,0.0000
tongueOut,1783192470.943345,0.0000,0.0000,0.2105,0.0803,0.0796,0.0378,0.0503,0.0370,0.1418,0.1443,0.2981,0.3000,0.2029,0.0000,0.0000,0.0844,0.0000,0.0000,0.0270,0.0269,0.0000,0.0000,0.2775,0.0000,0.3889,0.0350,0.3170,0.1357,0.1296,0.0217,0.0193,0.1167,0.0000,0.2118,0.2071,0.1140,0.1124,0.1690,0.0648,0.2775,0.3776,0.0950,0.0321,0.0000,0.0000,0.1975,0.2219,0.0120,0.0122,0.0724,0.0809,0.0000
tongueOut,1783192473.9265862,0.0000,0.0000,0.2773,0.1131,0.1162,0.0634,0.0471,0.0342,0.1835,0.1835,0.4516,0.4553,0.2481,0.0000,0.0000,0.1295,0.0000,0.0000,0.0117,0.0117,0.0000,0.0000,0.1022,0.0000,0.1569,0.0000,0.1512,0.0843,0.0701,0.0000,0.0009,0.1144,0.1109,0.1261,0.1092,0.1373,0.1347,0.2226,0.0000,0.1395,0.0886,0.1715,0.0834,0.0661,0.0000,0.2158,0.1722,0.0465,0.0347,0.1131,0.1238,0.0000
tongueOut,1783192475.076264,0.0000,0.0000,0.3321,0.0599,0.0570,0.0732,0.0430,0.0418,0.1752,0.1810,0.4056,0.4063,0.1012,0.0182,0.0000,0.0000,0.0000,0.0000,0.0166,0.0166,0.0000,0.0000,0.1327,0.0000,0.1177,0.0195,0.1208,0.0800,0.0862,0.0000,0.0000,0.1126,0.0000,0.1542,0.1705,0.1616,0.1664,0.1847,0.2036,0.1458,0.1130,0.1394,0.0591,0.0303,0.1054,0.1742,0.2136,0.0219,0.0268,0.1064,0.1190,0.0000
tongueOut,1783192476.294121,0.0000,0.0000,0.2983,0.0813,0.0812,0.0282,0.0454,0.0389,0.1535,0.1542,0.3722,0.3739,0.1610,0.0000,0.0000,0.0415,0.0000,0.0000,0.0161,0.0161,0.0000,0.0000,0.1486,0.0009,0.2352,0.0000,0.1785,0.1124,0.1084,0.0000,0.0000,0.1583,0.0000,0.2236,0.2256,0.0967,0.1012,0.1554,0.0094,0.0982,0.1113,0.1108,0.0478,0.0776,0.0867,0.2974,0.2856,0.0382,0.0385,0.1069,0.1203,0.0000
kiss,1783192478.510649,0.0000,0.0000,0.2876,0.0715,0.0715,0.1725,0.0337,0.0299,0.1730,0.1730,0.4754,0.4773,0.1528,0.0000,0.0000,0.0345,0.0000,0.0000,0.0100,0.0100,0.0000,0.0000,0.0260,0.0000,0.0684,0.0026,0.0713,0.0261,0.0250,0.0201,0.0265,0.1507,0.0379,0.0511,0.0507,0.1602,0.1532,0.8551,0.0000,0.0515,0.0231,0.2774,0.1551,0.0000,0.0000,0.1143,0.1063,0.0522,0.0511,0.1525,0.1731,0.0001
kiss,1783192479.876715,0.0000,0.0000,0.2713,0.0694,0.0694,0.1781,0.0346,0.0308,0.1641,0.1641,0.4279,0.4305,0.1968,0.0000,0.0000,0.0785,0.0000,0.0000,0.0139,0.0139,0.0000,0.0000,0.0251,0.0000,0.0607,0.0014,0.0690,0.0218,0.0210,0.0039,0.0136,0.1568,0.0566,0.0506,0.0474,0.1317,0.1269,0.9445,0.0000,0.0380,0.0222,0.2365,0.1271,0.0000,0.0000,0.1122,0.1036,0.0426,0.0408,0.1707,0.1924,0.0000
kiss,1783192481.0888991,0.0000,0.0000,0.3129,0.0333,0.0329,0.1602,0.0411,0.0368,0.1441,0.1441,0.3529,0.3550,0.1939,0.0000,0.0000,0.0748,0.0000,0.0000,0.0176,0.0176,0.0000,0.0000,0.0270,0.0000,0.1380,0.0088,0.1481,0.0160,0.0153,0.0000,0.0000,0.1891,0.0596,0.0526,0.0464,0.1022,0.0989,0.9714,0.0000,0.0440,0.0286,0.1977,0.0897,0.0189,0.0017,0.1019,0.0974,0.0383,0.0367,0.1768,0.1998,0.0000
kiss,1783192482.438334,0.0000,0.0000,0.2345,0.1091,0.1115,0.1438,0.0490,0.0310,0.1339,0.1297,0.3664,0.3703,0.3038,0.0000,0.0000,0.1874,0.0000,0.0000,0.0204,0.0205,0.0000,0.0000,0.0427,0.0162,0.2397,0.0000,0.2432,0.0419,0.0310,0.0248,0.0378,0.1818,0.2041,0.0526,0.0447,0.1088,0.1086,0.9083,0.0000,0.1126,0.0658,0.2499,0.1212,0.0000,0.0000,0.1401,0.0956,0.0334,0.0250,0.1173,0.1412,0.0000
kiss,1783192484.070732,0.0150,0.0151,0.3059,0.0000,0.0000,0.2110,0.0392,0.0368,0.1786,0.1785,0.4201,0.4214,0.1321,0.0000,0.0000,0.0125,0.0000,0.0000,0.0134,0.0134,0.0000,0.0000,0.0261,0.0003,0.0575,0.0000,0.0670,0.0143,0.0143,0.0000,0.0000,0.1333,0.0668,0.0586,0.0519,0.1167,0.1145,0.9716,0.0000,0.0409,0.0194,0.2372,0.1281,0.0456,0.0371,0.0995,0.0923,0.0573,0.0546,0.2418,0.2787,0.0000
wink,1783192485.736589,0.0000,0.6047,0.2788,0.0019,0.0000,0.0812,0.1284,0.6008,0.2160,0.9673,0.4643,0.4674,0.2217,0.0000,0.0000,0.1097,0.0000,0.0000,0.2976,0.6083,0.0000,0.0000,0.0444,0.1149,0.0431,0.0000,0.0456,0.0254,0.0692,0.0390,0.0000,0.0349,0.0000,0.0493,0.0526,0.1742,0.1982,0.1042,0.2903,0.0999,0.0200,0.3448,0.2337,0.0000,0.4920,0.0842,0.1727,0.0360,0.1725,0.1818,0.6021,0.0000
wink,1783192487.185808,0.2684,0.7982,0.1557,0.0000,0.0000,0.0444,0.1151,0.7009,0.2981,0.9577,0.4604,0.4640,0.2542,0.0000,0.0000,0.1438,0.0000,0.0000,0.3473,0.7360,0.0000,0.0000,0.0642,0.1613,0.0282,0.0000,0.0302,0.0296,0.1053,0.0000,0.0000,0.0181,0.0000,0.0576,0.0663,0.1996,0.2143,0.0576,0.3382,0.1006,0.0134,0.3915,0.3014,0.0104,0.6478,0.1059,0.2439,0.0447,0.2726,0.2276,0.7541,0.0000
wink,1783192488.468728,0.3149,0.7943,0.1586,0.0000,0.0000,0.0498,0.1145,0.6955,0.3124,0.9567,0.4714,0.4751,0.2572,0.0000,0.0000,0.1474,0.0000,0.0000,0.3377,0.7255,0.0000,0.0000,0.0595,0.1489,0.0288,0.0000,0.0300,0.0289,0.1000,0.0037,0.0000,0.0177,0.0000,0.0514,0.0566,0.2136,0.2287,0.0678,0.3376,0.1069,0.0143,0.4098,0.3159,0.0000,0.6263,0.0995,0.2330,0.0420,0.2502,0.2273,0.7535,0.0000
wink,1783192490.217932,0.8422,0.4742,0.0679,0.0000,0.0000,0.0497,0.6610,0.0817,0.8712,0.3479,0.4904,0.4912,0.0970,0.0162,0.0000,0.0000,0.0000,0.0000,0.5962,0.2166,0.0000,0.0000,0.0440,0.0000,0.0385,0.1466,0.0436,0.0978,0.0257,0.0000,0.1118,0.0362,0.5052,0.0637,0.0276,0.2919,0.2619,0.0783,0.0000,0.1126,0.0150,0.3761,0.2872,0.5788,0.0000,0.2210,0.0806,0.3171,0.0539,0.7929,0.3582,0.0000
wink,1783192491.6672401,0.8326,0.4857,0.0714,0.0000,0.0000,0.0538,0.6578,0.0849,0.8624,0.3795,0.5135,0.5146,0.1087,0.0047,0.0000,0.0000,0.0000,0.0000,0.5696,0.2251,0.0000,0.0000,0.0426,0.0000,0.0386,0.1403,0.0437,0.0984,0.0262,0.0000,0.1007,0.0373,0.4927,0.0680,0.0287,0.2930,0.2698,0.0786,0.0000,0.1186,0.0156,0.3771,0.2851,0.5761,0.0000,0.2222,0.0809,0.3129,0.0516,0.7893,0.3609,0.0000
wink,1783192492.950042,0.1825,0.5173,0.2607,0.0000,0.0000,0.0618,0.1639,0.5190,0.3922,0.9476,0.5026,0.5063,0.2409,0.0000,0.0000,0.1290,0.0000,0.0000,0.2986,0.4589,0.0000,0.0000,0.0592,0.0915,0.0403,0.0000,0.0433,0.0311,0.0631,0.0000,0.0000,0.0384,0.0000,0.0625,0.0585,0.1844,0.2151,0.0807,0.1343,0.1043,0.0221,0.2994,0.2020,0.0163,0.3586,0.1118,0.1632,0.0462,0.1335,0.2178,0.5448,0.0000
wink,1783192493.899629,0.1468,0.2195,0.3195,0.0000,0.0000,0.0565,0.0769,0.1489,0.4049,0.9392,0.5026,0.5069,0.2767,0.0000,0.0000,0.1661,0.0000,0.0000,0.1853,0.1957,0.0000,0.0000,0.0847,0.0000,0.0729,0.0109,0.0713,0.0273,0.0334,0.1619,0.1284,0.0557,0.0000,0.0640,0.0552,0.1410,0.1672,0.1374,0.0018,0.1253,0.0321,0.1981,0.1155,0.0000,0.0000,0.1688,0.1831,0.0290,0.0390,0.1373,0.2521,0.0000
